priority,dataset,status,grain,minimum_fields,enables,recommended_source,source_url,next_action,notes
0,club_captaincies,complete,one row per player-club-season,season; club; player_id; role; source_url; match_status,"captain search, grids, profiles and Game Lab clues",existing Wikipedia captain-list archive/import,https://en.wikipedia.org/wiki/Category:Lists_of_Australian_Football_League_captains,maintain reviewed override layer and refresh when source revisions change,"1,375 trusted appointments in the 2 August 2026 release baseline"
0,rising_star_nominations,complete_current_season_partial,one row per weekly nomination,season; round; player_id; club; source_url; match_status,"Rising Star filters, grids, profiles and clues",existing FootyWire HTML archive/import,https://www.footywire.com/afl/footy/rising_star_nominations,automate checksum-based 2026 refresh with staging and health gate,763 trusted rows; 2026 remains in progress and must be refreshed
1,family_relationships,missing,one directed verified relationship,player_id; related_player_id; relationship; source_url; confidence; reviewed_at,"BROTHER PLAYED, FATHER PLAYED and RELATED TO AN AFL PLAYER",Wikipedia Australian rules football families plus cited primary articles; Wikidata as a discovery aid only,https://en.wikipedia.org/wiki/List_of_Australian_rules_football_families,build a reviewed relationship importer and never infer relationships from surnames,last major unsupported historic-grid criterion
1,player_details,partial,one player or player-season identity record,stable source_player_id; full_birth_date; height_cm; weight_kg; position; jumper_number; source_url,"age, birthday, height, weight, position and guernsey-number search/game clues; stronger namesake linking",fitzRoy fetch_player_details using official AFL data first; historical source audit required,https://jimmyday12.github.io/fitzRoy/reference/fetch_player_details.html,"archive raw responses and compare official AFL, AFL Tables and FootyWire coverage before choosing canonical fields","fitzRoy documents date of birth, height, weight and debut; current versus historical coverage varies by source"
1,aflca_match_votes,missing,one player-match coaches-vote total,season; round; home_club; away_club; player_id; coaches_votes; source_url,"coaches-vote leaderboards, 10-vote games and Guess the Player clues",fitzRoy fetch_coaches_votes / AFLCA,https://jimmyday12.github.io/fitzRoy/reference/fetch_coaches_votes.html,"test coverage, cache raw seasons and link through match_id plus player identity","fitzRoy exposes season, round, teams, player and vote total"
2,match_results_enrichment,partial,one row per match,match_id; date_time; home_club; away_club; goals; behinds; points; venue; attendance; source_url,"home/away filters, attendance records, start-time questions and richer Match Explorer",fitzRoy fetch_results from official AFL or Squiggle; use AFL Tables only through permitted/cached upstream data,https://jimmyday12.github.io/fitzRoy/reference/fetch_results.html,compare fields and historical coverage against derived matches before importing,"Squiggle is suitable for basic fixture, venue and score data but does not provide advanced statistics"
2,score_progression_and_quarter_scores,missing,one scoring event or one team-match-quarter,match_id; period; event_time_or_order; team; cumulative_score; source_url,"quarter scores, comebacks, lead changes, score-worm games and largest turnaround queries",fitzRoy fetch_score_worm_data where available; validate historical coverage,https://jimmyday12.github.io/fitzRoy/articles/score-worms.html,"store raw score events, then derive quarter totals rather than scraping display tables repeatedly",prefer event-level data because it can derive quarter totals and game-story features
2,team_match_stats,missing,one team per match,match_id; team; inside50s; clearances; contested_possessions; tackles; marks; source_url,"team-style leaderboards, match comparisons and Game Lab team clues",fitzRoy fetch_team_stats using the official AFL source,https://jimmyday12.github.io/fitzRoy/reference/fetch_team_stats.html,audit first recorded season per stat and preserve unavailable eras as NULL,do not duplicate player sums when an official team total has a different definition
2,lineups_and_named_positions,missing,one player-team-match lineup slot,match_id; player_id; team; named_position; interchange_or_emergency; source_url,"named-position clues, selected-but-did-not-play analysis and lineup games",fitzRoy fetch_lineup using official AFL data,https://jimmyday12.github.io/fitzRoy/reference/fetch_lineup.html,define whether emergencies and late withdrawals are retained and how they differ from appearances,keep lineup selection separate from actual game participation
3,coach_appointments,missing,one coach-club-season-role,coach_id; coach_name; club; season; role; source_url,"played under coach, coached multiple clubs and coach-based trivia",official club/AFL records or a reviewed historical list,,add only after family relationships and match enrichment,"separate senior coach, caretaker and assistant roles"
3,venue_reference,partial,one venue-name era,venue_id; historical_name; current_name; city; state; latitude; longitude; from_date; to_date; source_url,"state/city filters, historically correct labels, maps and travel-based games",official venue sites and Wikidata/OpenStreetMap for coordinates after review,https://www.wikidata.org/,move hard-coded aliases from app.py into a versioned venue table,current aliases are curated in code and cannot express name changes by date
3,obscurity_model_features,partial_internal,one derived player score plus feature breakdown,player_id; model_version; career_games; goals; finals; brownlow; awards; captain_years; rising_star; draft_pick; era_adjustment,better prefilled answers and explainable rarity stars,derive from data already loaded in Sports Data Lab,,version the model and expose feature contributions before adding new external data,still a local fame proxy; do not represent it as Gridley crowd rarity
